GrLivArea,BedroomAbvGr,FullBath,SalePrice
1812,4,2,140000
1484,3,2,213000
1092,3,2,55000
1824,2,2,302000
1324,2,2,254000
1456,3,2,179540
904,3,1,109900
729,2,1,52000
1178,2,1,102776
1228,2,2,189000
960,3,1,129000
1479,3,2,130500
1350,3,2,165000
2554,3,1,159500
1178,3,1,157000
2418,3,2,341000
971,3,1,128500
1742,2,2,275000
848,1,1,143000
864,3,1,124500
1470,4,2,135000
1698,3,2,320000
864,3,1,120500
1680,3,2,222000
1232,2,2,194500
1776,4,2,110000
1208,2,1,103000
1616,2,2,236500
1146,3,2,187500
2031,3,2,222500
1144,3,1,131400
948,3,1,108000
1768,2,1,163000
1040,2,2,93500
1801,3,2,239900
1200,3,3,179000
1728,3,2,190000
1432,2,2,132000
912,3,1,142000
1349,3,2,179000
1464,3,2,175000
1337,2,2,180000
2715,4,3,299800
2256,4,2,236000
2640,4,1,265979
1720,3,2,260400
1529,4,2,98000
1140,3,1,96500
1320,3,2,162000
1494,3,2,217000
2098,3,2,275500
1026,3,1,156000
1471,3,2,172500
1768,3,2,212000
1386,3,2,158900
1501,3,2,179400
2531,4,2,290000
864,2,1,127500
1301,2,1,100000
1547,3,2,215200
2365,3,2,337000
1494,2,1,270000
1506,2,2,264132
1714,3,2,196500
1750,4,2,160000
1836,3,2,216837
3279,4,3,538000
858,2,1,134900
1220,2,1,102000
1117,3,1,107000
912,2,1,114500
1973,3,2,395000
1204,2,2,162000
1614,3,2,221500
894,3,1,142500
2020,4,2,144000
1004,2,1,135000
1253,3,2,176000
1603,3,2,175900
1430,3,2,187100
1110,1,1,165500
1484,3,2,128000
1342,3,2,161500
1652,4,2,139000
2084,4,2,233000
901,2,1,107900
2087,5,2,187500
1145,2,2,160200
1062,3,1,146800
2013,3,2,269790
1496,3,2,225000
1895,3,2,194500
1564,3,2,171000
1285,3,1,143500
773,2,1,110000
3140,4,3,485000
1768,3,1,175000
1688,4,2,200000
1196,2,1,109900
1456,3,2,189000
2822,4,3,582933
1128,2,1,118000
1428,3,2,227680
980,3,2,135500
1576,3,1,223500
1086,3,1,159950
2138,2,2,106000
1309,3,1,181000
848,1,1,144500
1044,2,1,55993
1442,4,1,157900
1250,3,1,116000
1661,3,2,224900
1008,2,1,137000
1689,3,2,271000
1052,3,1,155000
1358,2,2,224000
1640,3,2,183000
936,2,1,93000
1733,3,2,225000
1489,3,2,139500
1489,3,2,232600
2084,2,2,385000
784,2,1,109500
1434,3,2,189000
2126,3,2,185000
1223,2,2,147400
1392,3,1,166000
1200,2,2,151000
1829,3,2,237000
1516,3,1,167000
1144,3,1,139950
1067,2,2,128000
1559,2,1,153500
987,2,1,100000
1099,3,1,144000
1200,3,1,130500
1482,4,2,140000
1539,3,2,157500
1165,3,1,174900
1800,6,2,141000
1416,4,1,153900
1701,3,2,171000
1775,3,2,213000
864,3,1,133500
2358,5,3,240000
1855,3,2,187000
848,1,1,131500
1456,2,2,215000
1646,4,2,164000
1445,3,1,158000
1779,3,1,170000
1040,3,1,127000
1026,3,1,147000
1481,3,2,174000
1370,3,2,152000
2654,4,2,250000
1426,3,1,189950
1039,3,1,131500
1097,3,2,152000
1148,3,1,132500
1372,3,2,250580
1002,3,1,148500
1646,3,2,248900
1120,3,1,129000
2320,2,2,169000
1949,3,2,236000
894,2,1,109500
1682,3,2,200500
910,3,1,116000
1268,3,1,133000
1131,3,1,66500
2610,4,2,303477
1040,3,1,132250
2224,4,2,350000
1155,3,1,148000
864,3,1,136500
1090,2,1,157000
1717,3,2,187500
1593,3,2,178000
2230,5,1,118500
892,3,1,100000
1709,2,2,328900
1712,4,2,145000
1393,3,1,135500
2217,4,2,268000
1505,2,1,149500
924,3,1,122900
1683,3,2,172500
1068,3,1,154500
1383,3,1,165000
1535,4,2,118858
1796,4,1,140000
951,2,1,106500
2240,6,2,142953
2364,2,2,611657
1236,3,1,135000
858,2,1,110000
1306,2,1,153000
1509,3,2,180000
1670,3,2,240000
902,3,1,125500
1063,3,1,128000
1636,3,2,255000
2057,3,1,250000
902,2,1,131000
1484,3,2,174000
2274,5,2,154300
1268,3,1,143500
1015,3,1,88000
2002,4,2,145000
1224,2,2,173733
1092,3,1,75000
480,1,0,35311
1229,3,1,135000
2127,4,2,238000
1414,3,1,176500
1721,3,2,201000
2200,4,2,145900
1316,3,2,169990
1617,2,2,193000
1686,3,2,207500
1126,3,2,175000
2374,4,2,285000
1978,4,2,176000
1788,3,2,236500
2236,4,2,222000
1466,3,2,201000
925,2,1,117500
1905,3,2,320000
1500,3,2,190000
2069,4,2,242000
747,1,1,79900
1200,2,2,184900
1971,3,2,253000
1962,3,2,239799
2403,4,2,244400
1728,4,2,150900
2060,3,2,214000
1440,4,2,150000
1632,4,2,143000
1344,3,1,137500
1869,2,1,124900
1144,3,1,143000
1629,3,2,270000
1776,3,2,192500
1381,3,1,197500
864,3,1,129000
965,3,1,119900
768,2,1,133900
1968,4,2,172000
980,4,2,127500
1958,4,2,145000
1229,2,1,124000
1057,3,1,132000
1337,3,2,185000
1416,3,2,155000
858,2,1,116500
2872,4,2,272000
1548,3,2,155000
1800,2,2,239000
1894,4,2,214900
1484,3,2,178900
1308,2,1,160000
1098,3,1,135000
968,2,1,37900
1095,2,1,140000
1192,4,1,135000
1626,2,2,173000
918,2,2,99500
1428,3,2,182000
2019,3,1,167500
1382,3,2,165000
869,2,1,85500
1241,1,1,199900
894,3,1,110000
1121,3,1,139000
999,3,1,178400
2612,4,2,336000
1266,2,2,159895
2290,4,2,255900
1734,4,2,126000
1164,3,1,125000
1635,2,1,117000
1940,3,2,395192
2030,4,2,195000
1576,3,2,197000
2392,3,2,348000
1742,4,1,168000
1851,3,2,187000
1500,3,2,173900
1718,3,2,337500
1230,3,1,121600
1050,3,1,136500
1442,2,2,185000
1077,3,1,91000
1208,2,2,206000
944,2,1,82000
691,2,1,86000
1574,3,2,232000
1680,4,2,136905
1504,1,2,181000
985,3,2,149900
1657,3,2,163500
1092,3,1,88000
1710,3,2,240000
1522,4,2,102000
1271,4,2,135000
1664,4,2,100000
1502,3,1,165000
1022,2,1,85000
1082,2,1,119200
1665,3,2,227000
1504,3,2,203000
1360,1,1,187500
1472,3,2,160000
1506,2,2,213490
1132,2,1,176000
1220,2,2,194000
1248,2,1,87000
1504,2,2,191000
2898,2,2,287000
882,3,1,112500
1264,3,1,167500
1646,3,2,293077
1376,3,1,105000
1218,3,1,118000
1928,5,2,160000
3082,5,2,197000
2520,5,2,310000
1654,3,2,230000
954,2,1,119750
845,3,1,84000
1620,2,2,315500
2263,3,2,287000
1344,3,1,97000
630,1,1,80000
1803,3,2,155000
1632,4,1,173000
1306,1,2,196000
2329,4,2,262280
2524,4,2,278000
1733,4,2,139600
2868,4,3,556581
990,3,1,145000
1771,3,1,115000
930,2,1,84900
1302,3,2,176485
1316,3,2,200141
1977,4,1,165000
1526,4,1,144500
1989,3,2,255000
1523,3,2,180000
1364,2,2,185850
1850,3,2,248000
2184,3,2,335000
1991,3,1,220000
1338,2,2,213500
894,2,1,81000
2337,5,2,90000
1103,2,1,110500
1154,3,1,154000
2260,3,2,328000
1571,3,2,178000
1611,4,1,167900
2521,5,2,151400
893,2,1,135000
1048,3,1,135000
1556,4,1,154000
1456,4,1,91500
1426,3,1,159500
1240,2,2,194000
1740,3,1,219500
1466,3,2,170000
1096,3,1,138800
848,1,1,155900
990,3,1,126000
1258,3,2,145000
1040,3,1,133000
1459,3,2,192000
1251,3,1,160000
1498,3,2,187500
996,2,1,147000
1092,3,1,83500
1953,3,2,252000
1709,3,2,137500
1247,1,1,197000
1040,2,2,92900
1252,2,2,160000
1694,4,2,136500
1200,1,1,146000
936,2,1,129000
1314,3,2,176432
1355,3,1,127000
1088,2,1,170000
1324,3,1,128000
1601,3,2,157000
438,1,1,60000
950,3,1,119500
1134,2,1,135000
1194,3,1,159500
1302,3,2,106000
2622,3,2,325000
1442,3,2,179900
2021,3,2,274725
1690,3,2,181000
1836,3,2,280000
1658,3,2,188000
1964,4,2,205000
816,2,1,129900
1008,2,1,134500
833,2,1,117000
1734,3,2,318000
1419,3,2,184100
894,3,1,130000
1601,3,1,140000
1040,3,1,133700
1012,2,1,118400
1552,3,2,212900
960,3,1,112000
698,2,1,118000
1482,3,2,163900
1005,2,1,115000
1555,2,2,174000
1530,3,2,259000
1959,4,2,215000
936,2,1,140000
1981,4,2,135000
974,3,1,93500
2210,5,2,117500
2020,3,2,239500
1600,3,2,169000
986,2,1,102000
1252,3,1,119000
1020,2,1,94000
1567,2,2,196000
1167,3,1,144000
952,2,1,139000
1868,4,2,197500
2828,4,3,424870
1006,3,1,80000
924,2,1,80000
1576,3,1,149000
1298,3,2,180000
1564,3,1,174500
1111,2,1,116900
1482,3,1,143000
932,2,1,124000
1466,3,1,149900
1811,2,1,230000
816,2,1,120500
1820,4,1,201800
1437,3,2,218000
1265,3,2,179900
1314,2,2,230000
1580,3,2,235128
1876,4,2,185000
1456,3,2,146000
1640,3,1,224000
894,3,1,129000
1258,0,0,108959
1432,2,1,194000
1502,3,2,233170
1694,3,2,245350
1671,3,2,173000
2108,4,2,235000
3627,4,3,625000
1118,3,1,171000
1261,3,1,163000
1250,2,2,171900
3086,3,3,200500
2345,4,2,239000
2872,4,2,285000
923,3,1,119500
1224,3,1,115000
1343,3,1,154900
1124,3,1,93000
2514,4,2,250000
1652,2,2,392500
4476,4,3,745000
1130,2,1,120000
1572,3,1,186700
1221,4,1,104900
1699,3,2,95000
1624,2,2,262000
1660,3,2,195000
1804,3,2,189000
1622,3,1,168000
1441,2,2,174000
1472,3,1,125000
1224,2,2,165000
1352,4,1,158000
1456,3,2,176000
1863,4,2,219210
1690,3,1,144000
1212,3,2,178000
1382,3,1,148000
864,3,1,116050
1779,3,2,197900
1348,3,1,117000
1630,3,2,213000
1074,3,1,153500
2196,3,2,271900
1056,2,1,107000
1700,3,2,200000
1283,3,1,140000
1660,3,2,290000
1845,3,2,189000
1752,4,2,164000
672,2,1,113000
960,0,0,145000
999,3,1,134500
894,3,1,125000
1902,4,2,112000
1314,3,2,229456
912,2,1,80500
1218,3,1,91500
912,2,1,115000
1211,3,1,134000
1846,3,2,143000
2136,4,2,137900
1490,3,2,184000
1138,3,1,145000
1933,4,2,214000
912,2,1,147000
1702,1,1,367294
1507,4,2,127000
2620,4,2,190000
1190,3,1,132500
1224,2,2,101800
1188,3,1,142000
1964,4,1,130000
1784,4,1,138887
1626,2,2,175500
1948,4,2,195000
1141,3,1,142500
1484,2,2,265900
1768,3,2,224900
1689,3,2,248328
1173,3,2,170000
2076,2,2,465000
1517,3,1,230000
1868,3,3,178000
1553,3,2,186500
1034,3,1,169900
2058,3,1,129500
988,3,1,119000
2110,3,2,244000
1405,2,2,171750
874,3,1,130000
2167,3,2,294000
1656,3,2,165400
1367,3,1,127500
1987,2,2,301500
864,2,1,99900
1166,2,2,190000
1054,3,1,151000
1675,3,2,181000
1050,2,1,128900
1788,5,1,161500
1824,3,1,180500
1337,2,2,181000
1452,3,2,183900
1889,4,1,122000
2018,3,2,378500
3447,4,3,381000
1524,3,1,144000
1524,0,0,260000
1489,3,2,185750
935,3,1,137000
1357,2,1,177000
1250,3,2,139000
1920,4,2,137000
1395,3,1,162000
1724,3,1,197900
2031,3,2,237000
1128,2,1,68400
1573,3,2,227000
1339,2,2,180000
1040,3,2,150500
1824,4,2,139000
2447,4,2,169000
1412,4,1,132500
1328,3,1,143000
1582,4,2,190000
1659,2,2,278000
1970,3,2,281000
1152,3,1,180500
1302,3,2,119500
2372,4,2,107500
1664,4,2,162900
864,2,1,115000
1052,3,1,138500
1128,3,2,155000
1072,2,2,140000
5642,3,2,160000
1246,3,1,154000
1983,3,2,225000
1494,3,1,177500
2526,4,2,290000
1616,3,2,232000
1708,3,2,130000
1652,2,2,325000
1368,2,2,202500
990,3,1,138000
1122,2,1,147000
1294,3,2,179200
1902,3,2,335000
1274,3,2,203000
2810,4,2,302000
2599,4,2,333168
948,3,1,119000
2112,4,2,206900
1630,3,2,295493
1352,2,2,208900
1787,3,2,275000
948,3,1,111000
1478,3,1,156500
720,2,1,72500
1923,3,2,190000
708,2,1,82500
1795,2,2,147000
796,2,1,55000
774,3,1,79000
816,3,1,130500
2792,5,2,256000
1632,3,2,176500
1588,3,2,227000
954,3,1,132500
816,2,1,100000
1360,2,1,125500
1365,3,1,125000
1334,2,2,167900
1656,4,2,135000
693,2,1,52500
1861,3,2,200000
864,3,1,128500
872,3,1,123000
1114,3,1,155000
2169,3,2,228500
1913,3,1,177000
1456,3,2,155835
960,2,1,108500
2156,3,2,262500
1776,3,2,283463
1494,3,2,215000
2358,4,2,122000
2634,6,2,200000
1716,4,1,171000
1176,2,1,134900
3238,4,2,410000
1865,3,2,235000
1920,4,3,170000
892,3,1,110000
1078,3,1,149900
1573,3,2,177500
1980,3,2,315000
2601,4,3,189000
1530,3,2,260000
1738,4,2,104900
1412,3,2,156932
1200,2,2,144152
1674,3,2,216000
1790,3,2,193000
1475,4,2,127000
848,1,1,144000
1668,3,2,232000
1374,2,1,105000
1661,3,1,165500
2097,3,2,274300
2633,2,2,466500
1958,3,2,250000
1571,3,2,239000
790,2,1,91000
1604,3,2,117000
987,2,1,83000
1394,3,2,167500
864,2,1,58500
2117,4,2,237500
1762,4,1,157000
1416,3,2,112000
1258,2,1,105000
1154,3,1,125500
2784,5,3,250000
2526,5,2,136000
1746,3,2,377500
1218,3,1,131000
1525,3,2,235000
1584,4,2,124000
900,3,1,123000
1912,3,2,163000
1500,2,2,246578
2482,4,2,281213
1687,3,1,160000
1513,4,1,137500
1904,3,1,138000
1608,3,2,137450
1158,3,1,120000
1593,3,2,193000
1294,2,2,193879
1464,3,2,282922
1214,3,1,105000
1646,2,2,275000
768,2,1,133000
833,3,1,112000
1363,3,1,125500
2093,3,2,215000
1840,3,2,230000
1668,3,1,140000
1040,2,2,90000
1844,2,2,257000
1848,4,1,207000
1569,1,2,175900
